,ID,brand,NIC,owner,image
358,4284311,MONTANIKE,"29, 30, 31","MONTANIKE BEHEER, BV",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP266YKCNR2JU7FNJMSAFOAODEVIRCDYJ6PVPSLQ65QQIF3WVJSA7W
359,5036009,PIERRE DENIKER,"35, 36, 41, 42, 44",Fondation Pierre Deniker,No Image
360,5058029,NIKE RECOVERY,25,NIKE Innovate C.V.,No Image
361,5385554,INIKER,"5, 10","Advanced Science and Technology, S.L.",No Image
362,5385919,INIKER FILL,"3, 5, 10","Advanced Science and Technology, S.L.",No Image
363,5385984,INIKER JET,"3, 5, 10","Advanced Science and Technology, S.L.",No Image
364,5712203,NIKESTORE,"18, 25, 35",NIKE Innovate C.V.,No Image
365,5733795,NIKEGOLF,"9, 14, 18, 24, 25, 35, 36, 41",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZFXGD4B6MWNXYL5ZAH6AYIL5ZEMN7SU55DDFFMG4YXVP2TK6E46I
366,6058606,NIKEID.,35,NIKE Innovate C.V.,No Image
367,6231435,symphony philharmoniker www.SYMPHONY-FLOOR.COM,19,Meyer Parkett GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBGSHYVONAYS2I5YBAH6JX4SH6GS
368,6444831,NIKE SHOX,25,NIKE Innovate C.V.,No Image
369,6451331,NIKEFIT,24,NIKE Innovate C.V.,No Image
370,6819321,NIKEWOMEN,"18, 25, 35",NIKE Innovate C.V.,No Image
371,7201205,NIKE AEROGRAPHICS,"24, 25, 35",NIKE Innovate C.V.,No Image
372,7554637,NIKE PRO COMBAT,25,NIKE Innovate C.V.,No Image
373,8117715,NIKE GRIND,"19, 25, 27",NIKE Innovate C.V.,No Image
374,8262735,WIENER PHILHARMONIKER,"8, 9, 14, 16, 21, 25, 35, 38, 41",Wiener Philharmoniker e.V.,No Image
375,8529091,Die Elbphilharmoniker,"9, 16, 38, 41",HamburgMusik gGmbH,No Image
376,8608036,Bamberger Symphoniker,"9, 16, 41",Stiftung Bamberger Symphoniker Bayerische Staatsphilharmonie,No Image
377,8871915,NIKE,35,NIKE Innovate C.V.,No Image
378,9022385,NIKE5,25,NIKE Innovate C.V.,No Image
379,9043019,NIKE BETTER WORLD,"35, 41",NIKE Innovate C.V.,No Image
380,9158205,NIKE PRO HYPERCOOL,25,NIKE Innovate C.V.,No Image
381,9241043,NIKEFUEL,"9, 38, 41, 42",NIKE Innovate C.V.,No Image
382,9384801,UniKey,9,SecuTech Solution Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7APDUBT7JICB7UMNOMHR7ZDTSXM
383,9388935,Sensomotorik Techniker,"10, 25, 35, 37, 40, 42, 44",footpower Service GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7GOQISAGKWGOT4QZHUYEOCEOELK
384,9630153,NIKE,"7, 8, 12",Rehobot  Hydraulics AB,No Image
385,9873613,UNIKE JEWELLERY,14,"PLANET JEWELRY - ARTIGOS DE JOALHARIA, LDA",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7JUJY5I3FL2UYBIFPBUBJOWEWTM
386,9959255,è ALPHABETA KONTA STèN ELLèNIKè Gè,"29, 30, 31, 32, 33",Delhaize Le Lion/De Leeuw,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7LRQHZD7CLLLJJROJX7YOZENOEI
387,10032977,TK Techniker Krankenkasse Gesund in die Zukunft.,"36, 41, 44",Techniker Krankenkasse (TK),https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYOQHQWIAAX4XVHMOX756VI6PLN4
388,10483444,"pace Parti des citoyens européens, AISBL - Partei der Europäischen Bürger/Bürgerinnen - Party of the Citizens of Europe Europæiske Borgeres Parti - Partido de los Ciudadanos Europeos ",45,"Parti des Citoyens Européens (PACE), AISBL",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYMFI2EBFP4JY3YMGU77U4VIZ2L2
389,10616852,IK4 TEKNIKER Research Alliance,"9, 42",FUNDACION TEKNIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYND7SACRKXN7AY6O57MFLZVAVRO
390,10616928,NIKEFUEL,"9, 10, 14",NIKE Innovate C.V.,No Image
391,10687713,NIKE+ SPORT,"9, 25",NIKE Innovate C.V.,No Image
392,10687739,NIKE+ BASKETBALL,"9, 25",NIKE Innovate C.V.,No Image
393,10687788,NIKE+ TRAINING,"9, 25",NIKE Innovate C.V.,No Image
394,10807428,PANIKE MOMENTS DESDE 1986,30,Panike SA - Indústria de Produtos Ultracongelados SA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYDB5YN2OMJIQRHUZTOAWHAIIZCQ
395,10953362,NIKESKIN,25,NIKE Innovate C.V.,No Image
396,11003597,Unikliniken Köln,"16, 41, 44",Universitätsklinikum Köln Anstalt des öffentlichen Rechts des Landes NRW,No Image
397,11498862,NIKE TRACK CLUB,"18, 25, 35",NIKE Innovate C.V.,No Image
398,11529971,Miniket,7,Janser GmbH,No Image
399,11711272,WIENER SYMPHONIKER,"9, 16, 41",Wiener Symphoniker,No Image
400,12101689,NIKE,9,NIKE Innovate C.V.,No Image
401,12274098,FENIKEL,"6, 7, 12",Usui Kokusai Sangyo Kaisha,No Image
402,12600128,NIKE AEROLOFT,"18, 25, 35",NIKE Innovate C.V.,No Image
403,12930236,NIKE+ FUELCOACH,"9, 35, 38, 41, 42, 45",NIKE Innovate C.V.,No Image
404,13005434,PNIKER,"9, 12, 16, 18, 25, 28, 35, 38, 39, 41, 42",Thibault DE GHELLINK DELSEGHEM,No Image
405,13072988,NIKE AIR VAPORMAX,25,NIKE Innovate C.V.,No Image
406,13092465,NIKE CLEARANCE STORE,35,NIKE Innovate C.V.,No Image
407,13146725,NIKE AIR,"18, 25, 28",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJP5DUWYGPUOCZSMJKFM2GDO6MOMS
408,13176681,CHARL HEYNIKE,"14, 18, 20, 24, 25, 40",Charl Heynike,No Image
409,13265161,BERLINER PHILHARMONIKER,"9, 38, 41",Stiftung Berliner Philharmoniker,No Image
410,13463054,JENIKE &amp; JOHANSON,42,"Jenike &amp; Johanson Global, Inc.",No Image
411,13491758,NIKE AEROSHIELD,"18, 25, 35",NIKE Innovate C.V.,No Image
412,13725965,Kenike KIDS,"3, 18, 25","Guangzhou Qiyang Shoes Co., LTD.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJPSOWGO7GDJRDMD3UM7OS5IETE2G
413,13784021,NIKE,31,"AGRUPACION SUNAMAR, S.L.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJPQLGPNDJHXBQ5XATADKXHYEORSE
414,14296991,NIKE LUNAR,25,NIKE Innovate C.V.,No Image
415,14353247,NIKE ROSHE,25,NIKE Innovate C.V.,No Image
416,14433403,AIR HUARACHE BY NIKE,"18, 25, 35",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP22D5TH4HWBU7ERIQHFIMFEQUQOC2OG23FK26Z3IV3NVFPHPAFDOY
417,14840896,Wiener Philharmoniker 1842&nbsp; bePHILHARMONIC&nbsp; CONTEST 2016,"9, 16, 38, 41",Wiener Philharmoniker e.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP22D5TH4HWBU7ERIQHFIMFEQUQOD4GK27A3SFJIKUVNZ4AV7ADHSO
418,15100142,MINUTKLINIKEN,"9, 16, 35, 41, 42, 44",Apotek Hjärtat AB,No Image
419,15101066,minutkliniken,"9, 16, 35, 41, 42, 44",Apotek Hjärtat AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJKUUHC2OD5YTGDKF3U6IIRB4NYNI
420,15171788,NTC Nike Training Club,"9, 25, 35, 41",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJK2K4WP2K4ES3TCAXRKPW4FT3EK4
421,15214448,UNIKERIS,"5, 42, 44",Unikeris Limited,No Image
422,15225725,NIKE AEROSWIFT,"18, 25, 28",NIKE Innovate C.V.,No Image
423,15582216,Sminiker,"8, 9, 28",Shen Zhen Shi Hao Wei Yun Cheng Ke Ji You Xian Gong Si,No Image
424,15827231,NIKE HYPERSTRONG,"18, 25, 41",NIKE Innovate C.V.,No Image
425,15960701,NIKEL PRIVÉ,3,Mirjana Brlečić,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJKQ5AWQIFJ3IKH6ZXSQQBBISABUS
426,16026353,NIKE,41,NIKE Innovate C.V.,No Image
427,16207111,NIKEN,12,Yamaha Hatsudoki Kabushiki Kaisha,No Image
428,16490054,AK AKADEMIKLINIKEN,"3, 5, 41, 42, 44",Akademikliniken HJ Holding AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYSPRVBAQOOSZM42O7SI2WJYHBCQREUCIK2RKQRX6LGGKERCOCDIE
429,16661142,NIKE,"7, 8, 9, 12",Rehobot  Hydraulics AB,No Image
430,16768418,NIKE JOYRIDE,25,NIKE Innovate C.V.,No Image
431,17127929,Tiniker,"9, 25, 28",Xinliang Yu,No Image
432,17375155,komunikea,"35, 41",ALEJANDRO CARRETERO GARCIA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM53SH5OO6XI5FHUFVCMJEOMCCGM
433,17647199,AONIKE,"9, 35",Huqin Huang,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMMWIYND2VFM3IDMQ3SZ3Q4GZ3HWU
434,17769175,CM Philharmoniker Ball,"35, 41, 43",Kristina Bach,No Image
435,17945255,BERLINER SYMPHONIKER,"9, 16, 41",BEROLINA-ORCHESTER e.V. BERLINER SYMPHONIKER,No Image
436,17945256,BERLINER SYMPHONIKER,"9, 16, 41",BEROLINA-ORCHESTER e.V. BERLINER SYMPHONIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMMQG2W5VWN2M7XKWYNTEK7MQQHRA
437,17953294,Syonike,9,"Shenzhen Lv Di Si Technology Co., Ltd",No Image
438,17964315,NIKE RTNA,"18, 25",NIKE Innovate C.V.,No Image
439,17967285,NIKECONNECT,9,NIKE Innovate C.V.,No Image
440,17967447,PERITUSKLINIKEN,"35, 42, 44",Perituskliniken AB,No Image
441,17968330,NIKECONNECT,25,NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM2VFMQ4LOQQCE2PUOULSZJYSEJU
442,17976242,Unike,"5, 10",Köhler Pharma GmbH,No Image
443,17980838,etxenike,29,"M. ETXENIKE, S.A.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYV7S2XYV2IHZESYS2KSFIGKWMM6FD4N2AFPJJR5AENUXMGBMCPEU
444,18007186,EK EleniKey,"29, 30, 33",Jean Georges Ghenossis-Vagenas,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YGLXAVANK6QFDFULMZ2KNVO4N6
445,18028334,SLMKLINIKEN,"3, 5, 10, 41, 44",Maria Petersson,No Image
446,18037092,NIKE BY YOU,"35, 42",NIKE Innovate C.V.,No Image
447,18061156,iuniker,9,"Shenzhen Tongyu Technology Co., Ltd.",No Image
448,18070778,Ranikeer,"14, 20, 21","Zhengzhou NaTeEr Import and Export Trade Co., Ltd.",No Image
449,18094169,NIKEVRY,5,Novartis AG,No Image
450,18126224,"P/S ""Sniķeri"", Jumurdas pag., Ērgļu novads, t. 29135515 Kaziņas Bonijas siers www.bonijassiers.lv",29,Santa Lasmane-Radzvilaviča,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452FSIDMH6IRJIMAXWZNX4XXT2KK
451,18183856,Titanikel,7,HYWAY MIT CORPORATION,No Image
452,18188707,BERLINER PHILHARMONIKER RECORDINGS,"9, 41",Stiftung Berliner Philharmoniker,No Image
453,18212438,NIKEEYEN,11,Shenzhen KaiYaSheng Technology Co Ltd,No Image
454,18240898,etniké,30,Fratelli Pagani SpA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U453T5QFM4PXPYWLM4FDMDUPPRQYY
455,18275107,YOUNIKE,"11, 20",Tao Yang,No Image
456,18278539,SANIKEM,5,ITALKEM S.R.L.,No Image
457,18285590,Weltroniker,35,Weltron Elektronik GmbH,No Image
458,18326927,CCE Ziviltechniker GmbH,"37, 42",CCE Ziviltechniker GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U454YX7YRFS7KPDMVVHONDKR7Z77Q
459,18350942,FINIKEM,"1, 2, 3, 5, 42",FGL International S.p.A.,No Image
460,18466064,LIBERMENTA Kliniken,"5, 35, 44",BühlerHealthCare AG,No Image
461,18466066,LIBERMENTA Kliniken Leben erleben,"5, 35, 44",BühlerHealthCare AG,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YJDYYJQR425WGRO37PKS5V4J42
462,18467456,Nikeiy,"6, 8",Wenzhou Boju International Trade Co. Ltd,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45TS5RUZUEEOCV7KE6KKM2OLDKZ2
463,18504948,SANIKEM,"1, 5, 16, 40",Kemind S.r.l.,No Image
464,18507097,TechnikElfe,42,Sara Menzel-Berger,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YQ6KRD6ANLBBBB5IGGEEHQULXE
465,18530887,Tranike,"9, 10, 21","Shenzhen Xinyi Technology Co., Ltd.",No Image
466,18554274,PANIKE,"29, 30, 35","PANIKE - INDÚSTRIA DE PRODUTOS ALIMENTARES CONGELADOS, S.A.",No Image
467,18554609,DSGVO Datenschutz Ziviltechniker GmbH - Wir schützen Ihre Daten -,"42, 45",DSGVO-ZT GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45SYCMR6L4L6TDBD6K7S3ADWLQ5E
468,18586664,NIKE,"9, 35, 41",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45SHROLGKTR55CCW3OHEGIQTPAVK
469,18586666,NIKE,"9, 35, 41",NIKE Innovate C.V.,No Image
470,18605923,NIKELAND,"9, 25, 35, 41, 42",NIKE Innovate C.V.,No Image
471,18623025,T TEKNIKER MEMBER OF BASQUE RESEARCH &amp; TECHNOLOGY ALLIANCE,"7, 9, 37, 40, 41, 42",FUNDACION TEKNIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452JLEFHCTEKBIRITP6UHD2VBIPC
472,18674218,Atomos Kliniken,"35, 36",Atomos-Kliniken GmbH,No Image
473,18678896,NIKEDEM,"29, 30",Andrea Ursula Grün,No Image
474,18689924,ETXENIKE KUTXARA,29,"M. ETXENIKE, S.A.",No Image
475,18725918,nikelX Account Based Ticketing,"9, 25, 35, 38, 39, 42","Michael Weber, Olga White, Demuth Business Partner",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45QGYQ5EK5N7QNHVP7RVHE6Y6PBO
476,18736251,NIKE GO,25,NIKE Innovate C.V.,No Image
477,18736252,NIKE ZENVY,25,NIKE Innovate C.V.,No Image
478,18736254,NIKE UNIVERSA,25,NIKE Innovate C.V.,No Image
479,18764903,Siphoniker,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,No Image
480,18764904,SIPHONIKER,"6, 11, 17, 19",HL Hutterer &amp; Lechner GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VAFLB54GY54XBY2H6OIBJKPY7S
481,18811349,TIM DOSTARCZAMY ELEKTROTECHNIKĘ PROFESJONALISTOM,"35, 37, 39, 41, 42",TIM S.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45RWV4THYJKZXHE53FJVKR7FQX72
482,18848142,NIKE MOTIVA,25,NIKE Innovate C.V.,No Image
483,18857586,NIKE INVINCIBLE,25,NIKE Innovate C.V.,No Image
484,18865557,NIKE CRATER,25,NIKE Innovate C.V.,No Image
485,18866819,NIKE,"7, 10, 12, 14, 21, 26, 27, 41, 42",NIKE Innovate C.V.,No Image
486,18871826,Genikeer,"21, 28","Guangzhou Jingxiao Network Technology Co., Ltd.",No Image
487,18880415,NORDISKA KLINIKEN,"3, 44",Nordiska Kliniken,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45TJOE77CBL4BIGPA2SULBQVCGCI
488,18881419,NIKE STRIDE,25,NIKE Innovate C.V.,No Image
489,18886839,Laklinike,"3, 5, 35, 44",Haitham Abu Kahdijeh and his Partners Company,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45ZHHSY5N34X4YEBSZRYE4BRMNVS
490,18899582,KONCEPT kliniken,44,Koncept kliniken beauty AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VS42MOHANDQZOCI3KZVVBJVDWS
491,18943239,MACHENIKE,9,"QINGDAO THUNDEROBOT TECHNOLOGY CO., LTD.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45XU4QUGFJJNDNI5OYHRVGV3OI4M
492,18958093,LAINIKE,21,"Guangzhou Lainike Trading Co., Ltd.",No Image
493,18985382,MONIKER,36,Visa International Service Association,No Image
494,18989986,Organiker KERATIN TREATMENT,"3, 35",SAGA PROFESIONAL S.L.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U453GM6CV63SUF7LOA25QJMLZELTO
495,19006500,NANIKEOLA,"9, 14, 16, 28, 35, 41, 42",Susanne Korntner,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF35AW6C6H2DFVKWJ3IYJVFIY6DRA
496,19017718,CogniKEY,"41, 44",Brain Training Center S.R.L.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF3SGG7QDDSZOUC3DLKDE4JUKXP6O
497,19023991,TZMengNiKe,"11, 21","Shenzhen MengNiKe Trading Co., Ltd.",No Image
498,19052244,Sensomotorik Techniker,41,footpower Service GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY5X7OI6A3KZCQBHDBUZ4FR2OF3YGV2XDKIMZIWKJCJWRYQY6EMSW
499,19074876,UNIKEYBOX,"7, 8",Linmao Pan,No Image
500,19085235,Anikers,11,"Shenzhen Ouyitong E-commerce Co., Ltd.",No Image
